"Ano","Total_Natalidade (Brasil)","Natalidade_Mulher (Brasil)","Total_Mortalidade (Brasil)","Mortalidade_Mulher (Brasil)","Total_Natalidade JF","Natalidade_Mulher JF","Total_Mortalidade JF","Mortalidade_Mulher JF"
"2005","185150822","93381535","47578","3884","499972","260620","25","2"
"2006","187335121","94521963","49145","4022","506488","263972","38","4"
"2007","189462729","95633484","47707","3772","512787","267269","47","5"
"2008","191532420","96715463","50113","4023","518869","270446","57","9"
"2009","193543989","97767929","51434","4260","524740","273519","45","8"
"2010","195497791","98791096","52260","4465","530404","276481","63","11"
"2011","197397018","99786709","52198","4512","535816","279401","66","9"
"2012","199242462","100755200","56337","4719","540978","282159","105","5"
"2013","201032714","101695852","56804","4762","545942","284815","145","13"
"2014","202768337","102608787","59681","4832","550710","287268","142","8"
"2015","204450380","103494927","58138","4616","555288","289675","138","9"
